"time","timeDate","close","high","low","open","volumefrom","volumeto"
1501891200000,"2017-08-05",14.12,15.8,10.21,10.5,167756.22,2170085.32
1501977600000,"2017-08-06",15.97,17.25,13.3,14.12,150858.48,2340063.31
1502064000000,"2017-08-07",19.49,19.93,17.41,18.2,97984.6,1840059.23
1502150400000,"2017-08-08",18.25,20.29,15.68,19.49,290834.95,5170450.88
1502236800000,"2017-08-09",22.6,23,17.26,18.25,190636.74,3816168.88
1502323200000,"2017-08-10",37.6,41.72,21.51,22.6,413255.22,11987790.71
1502409600000,"2017-08-11",34.1,40.99,27.75,37.6,401554.82,13792663.98
1502496000000,"2017-08-12",37.72,38.56,30.7,34.1,147955,5043840.57
1502582400000,"2017-08-13",48.5,56.69,35.31,37.72,319807.81,14965636.31
1502668800000,"2017-08-14",48.32,54.8,45.4,48.5,230083.03,11403353.7
1502755200000,"2017-08-15",47.5,49.5,36.54,48.32,306074.3,13185942.28
1502841600000,"2017-08-16",45.99,52.3,44.62,47.5,177281.25,8417712.29
1502928000000,"2017-08-17",40.39,46.73,38.63,45.99,265517.14,11139492.6
1503014400000,"2017-08-18",38.88,41.76,30.54,40.39,335720.01,12339332.48
1503100800000,"2017-08-19",39.82,42,34.07,38.88,184636.87,7072540.46
1503187200000,"2017-08-20",38.5,41.2,37.99,39.82,85218.19,3378503.5
1503273600000,"2017-08-21",35.46,38.69,34,38.5,105246.72,3771368.49
1503360000000,"2017-08-22",35.6,36.36,31.5,35.46,121092.39,4154705.05
1503446400000,"2017-08-23",39.88,44.39,35.11,35.6,173294.47,7045911.89
1503532800000,"2017-08-24",41.9,42.28,39.36,39.88,54776.58,2245817.75
1503619200000,"2017-08-25",40.31,42.6,39.29,41.9,61872.78,2530672.74
1503705600000,"2017-08-26",38.82,40.87,37,40.31,40479.95,1575063.61
1503792000000,"2017-08-27",40,41.13,37,38.82,46485.9,1786450.78
1503878400000,"2017-08-28",38.5,40.35,37,40,40658.59,1549664.87
1503964800000,"2017-08-29",33.3,38.71,28.1,38.5,229566.8,7818803.67
1504051200000,"2017-08-30",33.33,36.02,30,33.3,116857.11,3867898.99
1504137600000,"2017-08-31",33.06,35.3,32.7,33.33,52334.19,1766185.24
1504224000000,"2017-09-01",31.8,33.85,28.7,33.06,143907.95,4515460.25
1504310400000,"2017-09-02",31.35,34.09,27.29,31.8,175635.37,5412925.43
1504396800000,"2017-09-03",30.81,32.88,28.45,31.35,86996.61,2654754.8
1504483200000,"2017-09-04",21.81,30.81,16.5,30.81,766813.91,16213256.19
1504569600000,"2017-09-05",23.4,24.5,18.5,21.81,370693.64,8145666.37
1504656000000,"2017-09-06",21.3,24.67,20.1,23.4,270340.67,5931400.72
1504742400000,"2017-09-07",30.98,34,20.21,21.3,600806.07,17018229.87
1504828800000,"2017-09-08",25.81,31.3,22.43,30.98,744402.4,19386202.68
1504915200000,"2017-09-09",22.6,25.96,22.27,25.81,282124.65,6741323.97
1505001600000,"2017-09-10",23.68,24.92,19.63,22.6,421650.07,9391167.92
1505088000000,"2017-09-11",21.96,24.54,21.52,23.68,233744.48,5312923.03
1505174400000,"2017-09-12",20.87,23.84,19.56,21.96,405677.48,8759410.01
1505260800000,"2017-09-13",20.03,21.4,17.64,20.87,466251.68,8878917.78
1505347200000,"2017-09-14",15.67,20.84,14.75,20.03,805999.95,13695390.93
1505433600000,"2017-09-15",18.72,19.28,13.12,15.67,1125007.09,18778973.37
1505520000000,"2017-09-16",20.62,23.25,18.23,18.72,739488.51,15062615.05
1505606400000,"2017-09-17",19.8,20.62,18.17,20.62,314030.54,6088818.83
1505692800000,"2017-09-18",21.07,21.41,19.45,19.8,425986.21,8759345.86
1505779200000,"2017-09-19",19.96,21.77,18.89,21.07,441649.44,9024766.47
1505865600000,"2017-09-20",19.69,20.53,19.55,19.96,181175.5,3627862.41
1505952000000,"2017-09-21",17.26,19.89,16.57,19.69,427743.03,7628628.54
1506038400000,"2017-09-22",18.56,19.36,16.97,17.26,322903.92,5831259.77
1506124800000,"2017-09-23",20.05,20.62,18.22,18.56,207530.57,4085429.36
1506211200000,"2017-09-24",19.65,20.44,19.14,20.05,109610.99,2157644.39
1506297600000,"2017-09-25",25.94,27.42,19.59,19.65,1082496.9,26188348.95
1506384000000,"2017-09-26",26.39,27.38,24.32,25.94,801819.68,20942064.55
1506470400000,"2017-09-27",31.82,34.01,26.38,26.39,1717031.66,53254433.22
1506556800000,"2017-09-28",29.92,32.79,27.59,31.82,1166544.19,34735362.79
1506643200000,"2017-09-29",28.64,30.46,25.96,29.92,1063367.34,29841027.6
1506729600000,"2017-09-30",34.32,34.48,28.4,28.64,975916.15,31274419.15
1506816000000,"2017-10-01",35.72,35.96,31.84,34.32,778373.19,26185153.57
1506902400000,"2017-10-02",36.61,38.95,34.62,35.72,1216547.87,44397356.89
1506988800000,"2017-10-03",33.57,36.77,31.88,36.61,949524.54,31996711.63
1507075200000,"2017-10-04",31.17,35.29,30.1,33.57,731593.28,23932835.26
1507161600000,"2017-10-05",32.28,33.63,28.83,31.17,898161.38,28374959.28
1507248000000,"2017-10-06",33.49,34.47,32.08,32.28,517788.61,17325037.1
1507334400000,"2017-10-07",35.88,36.27,33.16,33.49,357662.54,12309615.06
1507420800000,"2017-10-08",32.15,37.24,31.03,35.88,1048186.89,36154104.93
1507507200000,"2017-10-09",28.96,32.98,26.64,32.15,1088434.78,32394393.64
