"time","timeDate","close","high","low","open","volumefrom","volumeto"
1496361600000,"2017-06-02",0.2158,0.2265,0.18,0.18,47328,10207.03
1496448000000,"2017-06-03",0.2108,0.248,0.2008,0.2158,191728,41508.15
1496534400000,"2017-06-04",0.2139,0.232,0.2,0.2108,165478,35140.17
1496620800000,"2017-06-05",0.2308,0.2787,0.2097,0.2139,165051,36409.42
1496707200000,"2017-06-06",0.2279,0.2419,0.1988,0.2308,94525,21403.55
1496793600000,"2017-06-07",0.216,0.2396,0.2,0.2279,56160,12557.29
1496880000000,"2017-06-08",0.2188,0.2234,0.187,0.216,85201,18371.9
1496966400000,"2017-06-09",0.2164,0.2278,0.2115,0.2188,143731,31539.99
1497052800000,"2017-06-10",0.1918,0.225,0.1862,0.2164,112592,22978.17
1497139200000,"2017-06-11",0.2165,0.2244,0.189,0.1918,97462,19970.13
1497225600000,"2017-06-12",0.1913,0.25,0.1556,0.2165,80488,16672.03
1497312000000,"2017-06-13",0.203,0.2099,0.1794,0.1913,77284,15350.7
1497398400000,"2017-06-14",0.1944,0.225,0.1783,0.203,292514,59285.72
1497484800000,"2017-06-15",0.1868,0.2031,0.1548,0.1944,327107,58899.77
1497571200000,"2017-06-16",0.1858,0.204,0.174,0.1868,493188,92350.8
1497657600000,"2017-06-17",0.2007,0.2033,0.1761,0.1858,323043,62623.89
1497744000000,"2017-06-18",0.1915,0.2023,0.1795,0.2007,352216,68387.35
1497830400000,"2017-06-19",0.1982,0.2008,0.189,0.1915,504857,99147.76
1497916800000,"2017-06-20",0.206,0.2224,0.1934,0.1982,330804,67567.94
1498003200000,"2017-06-21",0.1902,0.2135,0.185,0.206,243603,48446.35
1498089600000,"2017-06-22",0.1903,0.1981,0.1862,0.1902,597260,114548.17
1498176000000,"2017-06-23",0.1926,0.1953,0.1872,0.1903,378265,72551.21
1498262400000,"2017-06-24",0.1773,0.2005,0.168,0.1926,301400,57092.49
1498348800000,"2017-06-25",0.1684,0.184,0.158,0.1773,236450,41953.36
1498435200000,"2017-06-26",0.158,0.1725,0.1335,0.1684,132102,20857.56
1498521600000,"2017-06-27",0.1614,0.1659,0.1331,0.158,272875,41526.08
1498608000000,"2017-06-28",0.1692,0.1762,0.1521,0.1614,361212,60037.9
1498694400000,"2017-06-29",0.1587,0.1754,0.1554,0.1692,759636,124573.04
1498780800000,"2017-06-30",0.1559,0.1665,0.155,0.1587,954210,151903.39
1498867200000,"2017-07-01",0.1415,0.1583,0.138,0.1559,745657,112684
1498953600000,"2017-07-02",0.1561,0.1568,0.1394,0.1415,795609,116519.78
1499040000000,"2017-07-03",0.1735,0.1781,0.1516,0.1561,749379,120598.21
1499126400000,"2017-07-04",0.187,0.195,0.1629,0.1735,928649,170093
1499212800000,"2017-07-05",0.1736,0.1871,0.17,0.187,914242,159731.54
1499299200000,"2017-07-06",0.1704,0.1781,0.1628,0.1736,1117996,189602.66
1499385600000,"2017-07-07",0.1561,0.1722,0.1506,0.1704,890219,143349.57
1499472000000,"2017-07-08",0.1578,0.1648,0.146,0.1561,729830,111085.27
1499558400000,"2017-07-09",0.1521,0.1611,0.1506,0.1578,880614,136190.93
1499644800000,"2017-07-10",0.1457,0.158,0.144,0.1521,592293,90931.19
1499731200000,"2017-07-11",0.1457,0.1457,0.1457,0.1457,0,0
1499817600000,"2017-07-12",0.1337,0.1445,0.1245,0.1445,400878,51759.85
1499904000000,"2017-07-13",0.1208,0.1406,0.1126,0.1337,786046,97803.21
1499990400000,"2017-07-14",0.1177,0.1244,0.1093,0.1208,1375683,164335.13
1500076800000,"2017-07-15",0.1098,0.118,0.1045,0.1177,966747,108814.82
1500163200000,"2017-07-16",0.09683,0.1128,0.08767,0.1098,1150057,119335.91
1500249600000,"2017-07-17",0.1349,0.1349,0.09681,0.09683,1169380,124629.55
1500336000000,"2017-07-18",0.1324,0.145,0.1153,0.1349,511993,66145.02
1500422400000,"2017-07-19",0.126,0.16,0.1228,0.1324,428803,55154.02
1500508800000,"2017-07-20",0.1534,0.1612,0.125,0.126,577693,77062.05
1500595200000,"2017-07-21",0.145,0.1534,0.1415,0.1534,57158,8264.12
1500681600000,"2017-07-22",0.177,0.179,0.145,0.145,186897,31326.05
1500768000000,"2017-07-23",0.1674,0.1883,0.1555,0.177,551455,93645.91
1500854400000,"2017-07-24",0.1696,0.1737,0.1589,0.1674,1129591,188593.04
1500940800000,"2017-07-25",0.1579,0.1784,0.1422,0.1696,2755121,435524.73
1501027200000,"2017-07-26",0.1565,0.1665,0.1444,0.1579,2739815,420104.3
1501113600000,"2017-07-27",0.1716,0.1772,0.1534,0.1565,2642167,431815.99
1501200000000,"2017-07-28",0.1655,0.176,0.1554,0.1716,2718391,450948.49
1501286400000,"2017-07-29",0.1693,0.171,0.1562,0.1655,2185351,353984.76
1501372800000,"2017-07-30",0.159,0.1767,0.1582,0.1693,2275833,377165.43
1501459200000,"2017-07-31",0.1612,0.1701,0.1574,0.159,2598679,422069.59
1501545600000,"2017-08-01",0.1791,0.1857,0.1611,0.1612,2508512,427298.08
1501632000000,"2017-08-02",0.2149,0.2404,0.1785,0.1791,1548107,313168.07
1501718400000,"2017-08-03",0.22,0.2458,0.2109,0.2149,1565225,351348.17
1501804800000,"2017-08-04",0.2236,0.231,0.2112,0.22,1352839,295097.95
1501891200000,"2017-08-05",0.2296,0.26,0.215,0.2236,1396914,315873.5
1501977600000,"2017-08-06",0.2442,0.255,0.2103,0.2296,1093476,250942.75
1502064000000,"2017-08-07",0.2802,0.2913,0.236,0.2442,1746507,460706.14
1502150400000,"2017-08-08",0.2731,0.31,0.2548,0.2802,1261493,359991.58
1502236800000,"2017-08-09",0.2786,0.3014,0.2536,0.2731,1637425,443420.9
1502323200000,"2017-08-10",0.293,0.3046,0.2754,0.2786,1218953,353914.54
1502409600000,"2017-08-11",0.293,0.3,0.274,0.2931,1242994,354951.23
1502496000000,"2017-08-12",0.2741,0.3027,0.2683,0.293,1337758,378226.43
1502582400000,"2017-08-13",0.2595,0.2796,0.2234,0.2741,1515610,392884.14
1502668800000,"2017-08-14",0.2526,0.2672,0.2332,0.2595,1595221,398005.47
1502755200000,"2017-08-15",0.2458,0.256,0.2272,0.2526,1666929,395125.23
1502841600000,"2017-08-16",0.2568,0.2795,0.2433,0.2458,1386299,356136.08
